"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
1516,1004,1892,"0","0","",NA,1906,1906,1907,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2667,710,1937,"0","0","Carpenter",50,1942,1942,1953,NA,16,"0","1","0",1,NA,NA,NA,NA,NA
2286,447,1921,"0","0","Labourer",34.52,1926,1926,1935,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2337,521,1923,"1","1","Labourer",34.52,1927,1927,1937,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1835,1004,1906,"1","1","",NA,1912,1912,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1619,1004,1896,"1","1","",NA,1907,1907,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1098,74,1877,"1","1","Carpenter",50,1884,1884,1891,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1234,131,1882,"1","1","Farmer",51.61,1890,1890,1896,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2032,366,1907,"1","1","Artist",57.63,1917,1917,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1742,306,1904,"1","1","Coastguard",57.72,1911,1911,1913,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
1679,1004,1896,"1","1","",NA,1909,1909,1910,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1653,304,1901,"1","1","Coastguard",57.72,1909,1909,1911,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
2494,635,1925,"1","1","Labourer",34.52,1934,1934,1939,NA,14,"0","0","1",NA,NA,NA,NA,NA,NA
1331,144,1889,"1","1","Coastguard",57.72,1896,1896,1897,NA,8,"0",NA,NA,NA,NA,NA,NA,NA,NA
1207,28,1878,"1","1","Labourer",34.52,1889,1889,1891,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1025,25,1873,"1","1","Clerk",58.68,1880,1880,1887,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1827,1004,1907,"1","1","",NA,1912,1912,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1261,118,1884,"1","1","Farmer",51.61,1892,1892,1896,NA,12,"0",NA,NA,NA,NA,NA,NA,4485,62
1399,181,1894,"1","1","Customs.Officer",61.5,1900,1900,1900,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
1431,234,1895,"1","1","Labourer",34.52,1901,1901,1909,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1421,230,1893,"1","1","Customs.Officer",61.5,1901,1901,1902,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
2182,445,1917,"1","1","Fisherman",52.66,1922,1922,1932,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
2976,955,1948,"1","1","Hotelier",58.61,1952,1952,1959,NA,11,"1","0","1",NA,NA,NA,NA,NA,NA
2511,616,1929,"1","1","Labourer",34.52,1935,1935,1943,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2009,356,1902,"1","1","Photographer",59.83,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2002,1004,1908,"1","1","",NA,1916,1916,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2377,1004,1921,"1","1","Independent",NA,1929,1929,1929,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1343,141,1889,"1","1","Labourer",34.52,1896,1896,1902,NA,13,"0","1","0",1,NA,NA,NA,NA,NA
1270,35,1887,"1","1","Labourer",34.52,1893,1893,1899,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA
1298,110,1886,"1","1","Farmer",51.61,1894,1894,1900,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1231,129,1884,"1","1","Customs.Officer",61.5,1890,1890,1891,NA,7,"0",NA,NA,NA,NA,NA,NA,NA,NA
2287,425,1921,"1","1","Lightkeeper",51.63,1926,1926,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
2285,458,1921,"1","1","Labourer",34.52,1925,1925,1935,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1355,195,1890,"1","1","Labourer",34.52,1897,1897,1904,NA,14,"0","1","0",1,NA,NA,NA,6731,28
1360,197,1891,"1","1","Labourer",34.52,1897,1897,1905,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1296,29,1888,"1","1","Labourer",34.52,1894,1894,1902,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2392,560,1924,"0","0","Labourer",34.52,1930,1930,1938,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2654,633,1936,"0","0","Labourer",34.52,1941,1941,1951,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2816,839,1942,"0","0","Farmer",51.61,1948,1948,1957,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2778,814,1941,"0","0","Shop.",53.33,1946,1946,1953,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
2698,1004,1935,"0","0","",NA,1943,1943,1945,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
2994,968,1948,"0","0","Farm.Labourer",52.02,1953,1953,1963,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2795,800,1942,"0","0","Clerk",58.68,1947,1947,1957,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
